#{"t_start": 1788798061.5686238, "env_id": "None"}
r,l,t
577.0872,300,651.979707
650.9771,300,651.979806
425.0444,300,651.979818
581.35864,300,651.979826
674.7533,300,651.979833
504.35657,300,651.979839
654.8729,300,651.979846
608.5162,300,651.979854
629.25024,300,651.979861
633.19495,300,651.979867
630.4794,300,651.979873
446.48398,300,651.979878
666.40247,300,651.979885
448.33417,300,651.979891
662.6251,300,651.979897
504.3897,300,651.979903
398.93765,300,651.979908
484.4392,300,651.979914
637.5469,300,651.97992
674.56714,300,651.979926
436.12003,300,651.979932
445.73398,300,651.979937
628.816,300,651.979943
503.22525,300,651.979949
629.4915,300,651.979955
385.86316,300,651.97996
337.85312,300,651.979966
414.47342,300,651.979974
655.75366,300,651.97998
467.81003,300,651.979986
651.014,300,651.979992
663.37146,300,651.979998
666.7375,300,651.980004
528.19305,300,651.98001
462.48813,300,651.980016
168.49112,300,651.980021
660.304,300,651.980027
621.26636,300,651.980033
666.47675,300,651.980039
623.7822,300,651.980045
614.0592,300,651.98005
663.98706,300,651.980056
671.96216,300,651.980062
655.6095,300,651.980067
416.6805,300,651.980073
567.2689,300,651.980079
663.8531,300,651.980084
603.8439,300,651.98009
738.0506,300,1296.43085
783.2328,300,1296.430936
577.02484,300,1296.430947
684.5574,300,1296.430955
788.782,300,1296.430961
703.6939,300,1296.430967
776.759,300,1296.430973
758.4758,300,1296.430979
802.3709,300,1296.430985
735.3992,300,1296.430992
742.21326,300,1296.430999
605.80426,300,1296.431005
783.0462,300,1296.431011
621.9918,300,1296.431018
778.4253,300,1296.431025
650.4212,300,1296.431031
507.88852,300,1296.431036
636.82306,300,1296.431043
777.133,300,1296.431049
786.304,300,1296.431055
461.8228,300,1296.431061
572.5302,300,1296.431067
792.84607,300,1296.431073
626.61395,300,1296.431078
745.6052,300,1296.431084
494.62222,300,1296.43109
462.58215,300,1296.431097
543.3855,300,1296.431103
778.85895,300,1296.431109
629.73267,300,1296.431115
756.5678,300,1296.431121
780.8213,300,1296.431127
787.6934,300,1296.431133
729.0776,300,1296.431138
629.9658,300,1296.431144
394.26227,300,1296.43115
767.97375,300,1296.431156
782.96234,300,1296.431162
781.3348,300,1296.431173
735.88324,300,1296.431179
724.99304,300,1296.431185
785.0896,300,1296.431191
803.2386,300,1296.431196
772.9852,300,1296.431203
501.39438,300,1296.431209
660.81494,300,1296.431215
786.80707,300,1296.431221
756.0352,300,1296.431226
738.87524,300,1941.610523
783.13257,300,1941.610614
429.49442,300,1941.610625
686.47,300,1941.610632
793.1492,300,1941.610639
695.52344,300,1941.610645
783.4308,300,1941.610651
755.0234,300,1941.610657
777.62396,300,1941.610663
741.38556,300,1941.61067
749.0389,300,1941.610676
600.5061,300,1941.610682
787.491,300,1941.610689
604.38617,300,1941.610694
784.62866,300,1941.6107
641.261,300,1941.610707
437.1787,300,1941.610712
