#{"t_start": 1788797339.61373, "env_id": "None"}
r,l,t
620.49457,300,666.389561
681.28687,300,666.389659
676.88617,300,666.389672
465.00223,300,666.38968
592.1957,300,666.389687
692.48773,300,666.389694
665.7464,300,666.3897
666.1191,300,666.389708
640.1483,300,666.389716
691.598,300,666.389722
649.55273,300,666.389728
638.2825,300,666.389734
485.6177,300,666.389741
666.99414,300,666.389747
506.92392,300,666.389753
660.2037,300,666.389759
527.7411,300,666.389765
454.17667,300,666.389771
604.05176,300,666.389777
663.80164,300,666.389783
668.1441,300,666.389789
394.98477,300,666.389795
509.39175,300,666.389802
678.9026,300,666.389807
531.4755,300,666.389813
657.6711,300,666.38982
363.1064,300,666.389826
351.54932,300,666.389834
483.9342,300,666.389841
662.18585,300,666.389848
616.64215,300,666.389853
662.44775,300,666.38986
670.42413,300,666.389867
665.0629,300,666.389873
684.62994,300,666.389878
632.8343,300,666.389884
365.58066,300,666.38989
647.1608,300,666.389896
684.6659,300,666.389902
665.8441,300,666.389908
629.5219,300,666.389913
621.37244,300,666.389919
671.7697,300,666.389926
694.4082,300,666.389931
667.7075,300,666.389937
345.12393,300,666.389943
553.787,300,666.389949
687.2908,300,666.389955
747.70795,300,1334.602478
789.271,300,1334.602555
781.80853,300,1334.602566
562.79205,300,1334.602573
716.8315,300,1334.602579
786.6529,300,1334.602586
777.38727,300,1334.602591
787.3466,300,1334.602597
768.42566,300,1334.602603
804.0742,300,1334.60261
761.9173,300,1334.602617
768.36316,300,1334.602623
453.34457,300,1334.60263
788.11316,300,1334.602636
595.3445,300,1334.602642
783.8214,300,1334.602648
564.7291,300,1334.602654
534.7229,300,1334.60266
744.17365,300,1334.602666
781.9945,300,1334.602672
788.3375,300,1334.602677
499.385,300,1334.602683
597.0786,300,1334.60269
801.2132,300,1334.602695
589.04205,300,1334.602702
770.95337,300,1334.602708
464.78824,300,1334.602714
381.27615,300,1334.60272
550.8035,300,1334.602726
788.4919,300,1334.602733
741.8108,300,1334.602739
772.3992,300,1334.602744
788.41833,300,1334.602751
791.2458,300,1334.602757
788.4277,300,1334.602763
752.15295,300,1334.602768
388.55328,300,1334.602774
781.033,300,1334.60278
799.3113,300,1334.602786
787.07294,300,1334.602792
761.87537,300,1334.602797
754.5732,300,1334.602803
789.159,300,1334.60281
806.2777,300,1334.602816
783.9061,300,1334.602822
475.0585,300,1334.602828
620.1256,300,1334.602834
791.7809,300,1334.602839
738.7988,300,2002.533776
806.2219,300,2002.533851
779.3473,300,2002.533862
485.05975,300,2002.533869
707.53345,300,2002.533876
787.8503,300,2002.533883
796.3135,300,2002.533889
785.66473,300,2002.533895
755.6786,300,2002.533901
802.58795,300,2002.533907
754.0388,300,2002.533914
762.86755,300,2002.53392
506.72565,300,2002.533927
787.7144,300,2002.533933
491.1809,300,2002.533939
784.0644,300,2002.533945
573.27716,300,2002.533951
432.4073,300,2002.533957
745.3039,300,2002.533963
783.0741,300,2002.533968
786.74365,300,2002.533974
424.22644,300,2002.53398
590.84515,300,2002.533987
806.0384,300,2002.533993
620.737,300,2002.533999
767.7384,300,2002.534006
375.43155,300,2002.534013
341.78653,300,2002.534019
509.5578,300,2002.534024
788.7641,300,2002.53403
749.78564,300,2002.534037
773.4048,300,2002.534043
789.7252,300,2002.534049
787.5068,300,2002.534055
791.32837,300,2002.534061
760.8374,300,2002.534067
372.185,300,2002.534073
776.81396,300,2002.534078
806.2967,300,2002.534084
789.20935,300,2002.53409
752.6048,300,2002.534096
746.4951,300,2002.534101
788.7308,300,2002.534123
804.8801,300,2002.534129
781.5013,300,2002.534135
386.24695,300,2002.534141
678.0481,300,2002.534146
788.1377,300,2002.534152
736.76526,300,2660.861625
809.64435,300,2660.861701
784.0585,300,2660.861712
576.6745,300,2660.861718
698.32104,300,2660.861725
794.0551,300,2660.861731
803.6979,300,2660.861737
782.063,300,2660.861743
761.4391,300,2660.861748
803.9176,300,2660.861754
751.95386,300,2660.86176
759.22723,300,2660.861767
599.18243,300,2660.861778
787.65015,300,2660.861785
621.46094,300,2660.861791
782.33606,300,2660.861796
651.0845,300,2660.861802
556.7177,300,2660.861808
746.12823,300,2660.861814
777.0659,300,2660.861819
791.36884,300,2660.861825
512.27686,300,2660.861831
641.6011,300,2660.861837
809.90485,300,2660.861844
631.86285,300,2660.861849
757.13666,300,2660.861856
460.40573,300,2660.861862
446.2513,300,2660.861868
585.5031,300,2660.861873
782.39417,300,2660.861879
739.1281,300,2660.861885
765.2723,300,2660.861891
785.8023,300,2660.861897
790.8255,300,2660.861904
793.8131,300,2660.86191
766.6294,300,2660.861916
476.77994,300,2660.861921
769.7735,300,2660.861927
810.3862,300,2660.861932
784.56494,300,2660.861938
749.6738,300,2660.861944
741.4675,300,2660.861949
788.2325,300,2660.861956
803.93945,300,2660.861962
775.73,300,2660.861968
457.75912,300,2660.861973
674.8776,300,2660.861979
792.454,300,2660.861984
731.104,300,3301.694869
808.3412,300,3301.694947
773.53925,300,3301.694958
553.48706,300,3301.694966
686.79926,300,3301.694973
785.9464,300,3301.694979
803.3602,300,3301.694985
775.1702,300,3301.694991
755.2213,300,3301.694998
791.732,300,3301.695004
742.6278,300,3301.69501
745.2216,300,3301.695015
478.00592,300,3301.695022
781.8588,300,3301.695028
513.9708,300,3301.695034
