#{"t_start": 1788799655.9876084, "env_id": "None"}
r,l,t
198.51138,300,719.813505
130.5447,300,719.813622
574.21875,300,719.813636
583.2791,300,719.813644
299.0259,300,719.813651
542.47186,300,719.813658
285.3895,300,719.813664
482.7877,300,719.813673
459.2113,300,719.81368
164.26442,300,719.813687
265.59802,300,719.813693
591.32056,300,719.813699
545.22375,300,719.813708
476.24393,300,719.813714
287.2882,300,719.81372
355.69257,300,719.813726
299.01004,300,719.813731
430.5834,300,719.813737
197.27373,300,719.813743
565.0426,300,719.813749
220.81299,300,719.813755
486.75842,300,719.813761
262.41403,300,719.813768
131.61081,300,719.813773
263.08875,300,719.813779
291.66342,300,719.813785
597.45197,300,719.813791
128.28836,300,719.813801
211.9861,300,719.813808
275.1748,300,719.813814
-234.62119,300,719.81382
432.51297,300,719.813827
-3085.9482,300,719.813835
299.3771,300,719.813841
174.37433,300,719.813846
464.7149,300,719.813852
239.02026,300,719.813858
365.70386,300,719.813864
567.95593,300,719.81387
527.0267,300,719.813876
534.4948,300,719.813882
189.36215,300,719.813888
-1090.3179,300,719.813895
500.239,300,719.813901
196.56972,300,719.813906
399.5201,300,719.813912
359.4166,300,719.81392
218.19142,300,719.813926
108.52828,300,1402.184924
60.387047,300,1402.185022
444.03564,300,1402.185035
462.92972,300,1402.185042
176.05138,300,1402.185049
451.78586,300,1402.185055
239.45409,300,1402.185061
393.2379,300,1402.185067
360.24973,300,1402.185074
74.59768,300,1402.185081
165.47044,300,1402.185087
451.60587,300,1402.185093
411.8347,300,1402.185105
445.80972,300,1402.185112
235.81288,300,1402.185117
261.2459,300,1402.185123
169.9418,300,1402.185129
344.84323,300,1402.185135
127.71352,300,1402.185141
462.0626,300,1402.185147
90.50084,300,1402.185152
367.4676,300,1402.185158
144.78218,300,1402.185165
59.64187,300,1402.185171
162.92856,300,1402.185177
232.01807,300,1402.185183
475.78293,300,1402.185189
51.44902,300,1402.185195
99.19899,300,1402.185201
-16.989832,300,1402.185207
66.599785,300,1402.185213
314.09845,300,1402.185219
28.06727,300,1402.185229
148.07764,300,1402.185235
77.471596,300,1402.185241
393.42456,300,1402.185247
138.08301,300,1402.185253
246.11096,300,1402.185258
455.07376,300,1402.185264
418.6292,300,1402.18527
441.40842,300,1402.185276
155.71288,300,1402.185281
59.334335,300,1402.18529
413.7577,300,1402.185296
161.68921,300,1402.185302
376.65353,300,1402.185308
268.6743,300,1402.185313
178.87352,300,1402.185319
218.2308,300,2068.325756
88.94901,300,2068.325855
640.725,300,2068.325867
648.64343,300,2068.325874
326.77542,300,2068.325881
631.9012,300,2068.325887
325.3646,300,2068.325893
586.08716,300,2068.325899
545.27014,300,2068.325906
132.62025,300,2068.325912
288.96732,300,2068.325917
657.25934,300,2068.325924
605.1552,300,2068.32593
563.20636,300,2068.325937
353.2026,300,2068.325943
502.5006,300,2068.325948
342.74115,300,2068.325954
491.76276,300,2068.32596
206.6101,300,2068.325966
634.9712,300,2068.325972
221.36661,300,2068.325978
557.4638,300,2068.325984
321.08212,300,2068.325998
99.358635,300,2068.326004
308.87457,300,2068.32601
389.22382,300,2068.326017
664.69275,300,2068.326023
81.48567,300,2068.32603
173.26907,300,2068.326035
285.2049,300,2068.326041
146.24376,300,2068.326048
499.4655,300,2068.326054
51.167892,300,2068.326062
348.19952,300,2068.326069
172.3277,300,2068.326075
569.85614,300,2068.326081
376.83133,300,2068.326087
436.95715,300,2068.326093
627.11285,300,2068.326098
601.3361,300,2068.326104
604.95166,300,2068.32611
248.79309,300,2068.326116
101.14381,300,2068.326123
571.32947,300,2068.326129
222.9497,300,2068.326135
512.43823,300,2068.326141
460.33157,300,2068.326147
261.35294,300,2068.326153
273.62915,300,2745.421416
122.76617,300,2745.421513
682.5575,300,2745.421529
677.5312,300,2745.421537
383.31223,300,2745.421544
644.1253,300,2745.421551
350.62427,300,2745.421558
619.58057,300,2745.421565
603.801,300,2745.421571
183.7918,300,2745.421578
332.70804,300,2745.421588
687.3061,300,2745.421595
646.3512,300,2745.421605
700.2875,300,2745.421612
460.84634,300,2745.421618
520.2027,300,2745.421624
383.99634,300,2745.421631
528.6291,300,2745.421637
256.76395,300,2745.421643
660.60236,300,2745.421649
275.99594,300,2745.421655
626.4714,300,2745.421661
362.0148,300,2745.421669
112.8571,300,2745.421675
348.7255,300,2745.421681
419.654,300,2745.421687
687.6414,300,2745.421693
109.91825,300,2745.421699
235.09807,300,2745.421705
479.24326,300,2745.421711
202.05722,300,2745.421717
513.4649,300,2745.421724
-1754.7094,300,2745.42173
372.2438,300,2745.421737
226.72424,300,2745.421743
634.0527,300,2745.421749
419.80676,300,2745.421755
468.32474,300,2745.421761
666.1167,300,2745.421767
747.9469,300,2745.421773
641.4284,300,2745.421779
249.77968,300,2745.421784
125.728745,300,2745.421791
587.6975,300,2745.421797
285.5828,300,2745.421803
640.4427,300,2745.421808
465.93323,300,2745.421819
353.08267,300,2745.421825
149.88356,300,3423.24439
-1377.0643,300,3423.244493
679.567,300,3423.244505
682.3797,300,3423.244512
425.6012,300,3423.244519
670.647,300,3423.244525
348.67084,300,3423.244532
613.37476,300,3423.244538
541.1568,300,3423.244544
89.91999,300,3423.24455
