#{"t_start": 1788786359.4783905, "env_id": "None"}
r,l,t
146.90462,300,663.04073
94.40805,300,663.040863
345.55847,300,663.040876
365.20615,300,663.040885
255.94604,300,663.040892
323.38196,300,663.040899
247.36491,300,663.040905
306.67157,300,663.040914
272.81964,300,663.040922
119.7621,300,663.040928
211.34648,300,663.040935
389.58514,300,663.040941
324.93542,300,663.040948
377.3011,300,663.040954
252.03287,300,663.04096
267.16656,300,663.040966
263.97107,300,663.040972
266.84683,300,663.040978
167.44907,300,663.040984
365.7817,300,663.040989
168.89702,300,663.040996
347.92682,300,663.041001
181.99107,300,663.041008
103.488106,300,663.041014
238.72125,300,663.04102
257.54156,300,663.041026
383.35074,300,663.041032
84.22004,300,663.041039
175.75902,300,663.041045
191.79732,300,663.041051
-276.48248,300,663.041057
252.06331,300,663.041064
-3112.4255,300,663.04107
168.69174,300,663.041076
128.23576,300,663.041082
239.807,300,663.041088
166.994,300,663.041094
276.40488,300,663.0411
345.24277,300,663.041107
447.14005,300,663.041113
303.04575,300,663.041118
159.90874,300,663.041124
-1126.429,300,663.041131
283.19315,300,663.041136
191.89163,300,663.041142
357.07477,300,663.041147
224.21164,300,663.041153
198.07962,300,663.041159
229.16714,300,1311.939253
115.86247,300,1311.939421
579.27985,300,1311.939434
576.7904,300,1311.939451
356.2373,300,1311.939458
560.02203,300,1311.939464
338.75787,300,1311.93947
531.4549,300,1311.939476
492.03442,300,1311.939482
158.02783,300,1311.939489
305.12482,300,1311.939495
571.6948,300,1311.939501
563.2082,300,1311.939508
573.2,300,1311.939514
367.98328,300,1311.93952
401.1121,300,1311.939526
353.33038,300,1311.939531
500.3218,300,1311.939538
240.47723,300,1311.939543
565.0149,300,1311.939549
224.94704,300,1311.939555
548.2815,300,1311.93956
298.32584,300,1311.939567
92.80628,300,1311.939573
325.4681,300,1311.939579
388.19644,300,1311.939585
591.1084,300,1311.939591
107.14801,300,1311.939597
227.92325,300,1311.939603
282.71066,300,1311.939609
185.50676,300,1311.939615
498.69724,300,1311.93962
41.140476,300,1311.939627
350.23853,300,1311.939633
193.78625,300,1311.939639
558.31274,300,1311.939644
321.93527,300,1311.93965
426.2091,300,1311.939656
579.8216,300,1311.939661
555.0975,300,1311.939667
579.5181,300,1311.939672
242.81726,300,1311.939678
103.85232,300,1311.939684
550.89746,300,1311.93969
301.56735,300,1311.939695
476.82294,300,1311.939701
457.71887,300,1311.939707
300.42856,300,1311.939713
122.069145,300,1959.801693
38.03275,300,1959.801782
563.052,300,1959.801794
530.4391,300,1959.801801
256.42456,300,1959.801807
492.95615,300,1959.801814
267.43048,300,1959.80182
443.7132,300,1959.801826
402.56555,300,1959.801832
72.12617,300,1959.801839
244.94159,300,1959.801845
572.0571,300,1959.801851
448.7327,300,1959.801858
565.34106,300,1959.801865
314.99966,300,1959.801871
303.98297,300,1959.801877
273.8388,300,1959.801883
381.2245,300,1959.801888
199.27364,300,1959.801895
553.1816,300,1959.801901
149.19072,300,1959.801907
533.14197,300,1959.801912
165.21034,300,1959.801919
36.22919,300,1959.801925
228.40378,300,1959.801932
265.36798,300,1959.801938
585.5474,300,1959.801945
30.595928,300,1959.801951
162.84564,300,1959.801957
183.42967,300,1959.801964
139.52345,300,1959.80197
330.66095,300,1959.801976
6.8161073,300,1959.801983
174.02718,300,1959.801989
85.19634,300,1959.801995
426.9563,300,1959.802001
193.49963,300,1959.802007
338.86694,300,1959.802012
507.51062,300,1959.802018
573.9301,300,1959.802024
487.05505,300,1959.80203
174.57036,300,1959.802036
34.93732,300,1959.802042
420.72754,300,1959.802048
145.2033,300,1959.802054
488.49417,300,1959.80206
297.772,300,1959.802065
260.36667,300,1959.802071
117.25293,300,2610.254539
-1208.4065,300,2610.254622
632.99866,300,2610.254633
629.10065,300,2610.25464
301.4022,300,2610.254647
603.8595,300,2610.254653
298.52817,300,2610.25466
528.14557,300,2610.254666
453.04755,300,2610.254672
-587.5918,300,2610.254678
197.77777,300,2610.254689
653.52423,300,2610.254695
572.929,300,2610.254702
653.38495,300,2610.254708
325.55743,300,2610.254714
367.24524,300,2610.25472
289.33066,300,2610.254726
400.1646,300,2610.254731
147.77847,300,2610.254737
602.4896,300,2610.254743
126.74506,300,2610.254749
574.6178,300,2610.254755
165.85452,300,2610.254761
-119.65383,300,2610.254767
244.24341,300,2610.254773
388.706,300,2610.254779
653.1015,300,2610.254785
-1612.7004,300,2610.254791
156.60313,300,2610.254797
281.26395,300,2610.254803
124.50066,300,2610.254809
292.65997,300,2610.254815
-2545.0957,300,2610.254821
185.48758,300,2610.254827
99.53327,300,2610.254833
500.18195,300,2610.254839
203.50754,300,2610.254844
349.72858,300,2610.25485
607.3644,300,2610.254856
703.5272,300,2610.254862
600.997,300,2610.254868
173.46117,300,2610.254874
-831.6711,300,2610.25488
477.80618,300,2610.254886
223.34282,300,2610.254893
614.7484,300,2610.254899
236.3163,300,2610.254904
270.0746,300,2610.25491
172.2185,300,3259.300434
108.91442,300,3259.300531
715.8661,300,3259.300543
731.9055,300,3259.30055
388.49426,300,3259.300557
690.74457,300,3259.300564
321.06616,300,3259.30057
643.88934,300,3259.300576
577.3841,300,3259.300582
132.01968,300,3259.300588
272.29803,300,3259.300594
734.7375,300,3259.300601
666.66003,300,3259.300607
687.219,300,3259.300613
448.75818,300,3259.300619
456.58813,300,3259.300626
358.8735,300,3259.300631
508.47076,300,3259.300637
215.41988,300,3259.300643
694.73315,300,3259.300649
205.1319,300,3259.300655
600.58704,300,3259.300661
226.1836,300,3259.300668
90.77367,300,3259.300675
335.58832,300,3259.300681
466.57245,300,3259.300687
737.60376,300,3259.300693
-370.40125,300,3259.300699
186.35036,300,3259.300705
145.7783,300,3259.300711
168.25609,300,3259.300717
486.0432,300,3259.300723
-2932.1138,300,3259.300729
241.64455,300,3259.300735
144.74432,300,3259.300741
603.25995,300,3259.300747
326.67163,300,3259.300754
446.4619,300,3259.300759
699.91345,300,3259.300765
756.2886,300,3259.300771
661.8006,300,3259.300777
320.2268,300,3259.300783
103.00009,300,3259.300789
589.845,300,3259.300795
249.26978,300,3259.300801
657.78424,300,3259.300807
431.55588,300,3259.300812
310.8541,300,3259.300818
161.8222,300,3910.797482
-1057.0652,300,3910.797571
710.1712,300,3910.797582
723.1445,300,3910.79759
344.94897,300,3910.797596
690.40894,300,3910.797603
292.49786,300,3910.797609
643.5812,300,3910.797615
627.79816,300,3910.797621
119.53599,300,3910.797627
219.31897,300,3910.797633
726.57196,300,3910.797639
668.0647,300,3910.797645
720.4107,300,3910.797651
467.67807,300,3910.797657
565.95074,300,3910.797662
296.84705,300,3910.797668
483.7805,300,3910.797674
179.54901,300,3910.79768
693.5827,300,3910.797686
148.0726,300,3910.797692
653.8977,300,3910.797697
202.93527,300,3910.79771
83.10271,300,3910.797717
249.19455,300,3910.797722
479.71375,300,3910.797729
730.59674,300,3910.797735
84.40121,300,3910.797741
138.93312,300,3910.797747
431.72742,300,3910.797753
119.16715,300,3910.797759
444.905,300,3910.797765
49.227634,300,3910.797772
217.6735,300,3910.797779
139.42868,300,3910.797784
609.1679,300,3910.79779
338.8553,300,3910.797796
483.84018,300,3910.797801
692.336,300,3910.797807
783.2488,300,3910.797813
661.25214,300,3910.797819
272.53836,300,3910.797825
89.67692,300,3910.797832
608.31683,300,3910.797838
277.96423,300,3910.797844
680.8881,300,3910.79785
360.0566,300,3910.797856
245.53749,300,3910.797862
191.65977,300,4563.755082
107.71836,300,4563.755169
728.6149,300,4563.755187
730.35693,300,4563.755195
371.44193,300,4563.755202
664.7896,300,4563.755208
332.57315,300,4563.755215
651.2784,300,4563.755221
604.87274,300,4563.755227
136.88033,300,4563.755233
273.3261,300,4563.755239
756.62476,300,4563.755245
650.0693,300,4563.755252
704.75165,300,4563.755258
423.2005,300,4563.755264
523.10565,300,4563.75527
348.2632,300,4563.755276
470.7082,300,4563.755282
202.01917,300,4563.755288
678.3526,300,4563.755295
214.40964,300,4563.7553
624.0929,300,4563.755309
244.7502,300,4563.755317
120.55268,300,4563.755323
303.62024,300,4563.755329
475.38794,300,4563.755335
730.41785,300,4563.755341
97.2658,300,4563.755347
195.1316,300,4563.755353
459.92624,300,4563.755359
161.297,300,4563.755366
425.17438,300,4563.755372
76.0767,300,4563.755381
259.35992,300,4563.755388
162.36534,300,4563.755394
626.51874,300,4563.755399
304.97464,300,4563.755405
441.32596,300,4563.755411
