#{"t_start": 1788796216.8816538, "env_id": "None"}
r,l,t
667.8819,300,703.700106
637.02826,300,703.70022
657.59454,300,703.700233
603.0477,300,703.700241
622.3975,300,703.700248
658.0064,300,703.700263
440.47516,300,703.700269
564.10956,300,703.700279
669.6838,300,703.700286
581.83075,300,703.700292
660.88403,300,703.700299
614.69653,300,703.700305
673.9508,300,703.700312
609.084,300,703.700318
631.89764,300,703.700324
476.74,300,703.70033
676.5547,300,703.700336
502.70496,300,703.700342
656.1595,300,703.700348
513.6839,300,703.700354
434.92865,300,703.70036
526.89935,300,703.700366
657.0916,300,703.700375
668.31793,300,703.700382
376.50543,300,703.700388
459.12152,300,703.700396
662.43896,300,703.700402
519.5112,300,703.700409
631.56354,300,703.700415
404.44955,300,703.700421
393.81436,300,703.700427
435.4084,300,703.700433
649.8626,300,703.700439
517.4802,300,703.700445
643.56177,300,703.700451
671.0891,300,703.700458
671.85236,300,703.700463
602.3,300,703.700469
519.09064,300,703.700475
294.19455,300,703.700481
657.5442,300,703.700487
652.4868,300,703.700493
662.7258,300,703.7005
629.11334,300,703.700505
612.983,300,703.700511
662.3586,300,703.700517
701.4006,300,703.700523
647.17114,300,703.700528
788.92725,300,1388.288408
761.98456,300,1388.288503
778.07916,300,1388.288516
727.35785,300,1388.288523
771.9878,300,1388.28853
775.9944,300,1388.288537
555.6789,300,1388.288543
689.1896,300,1388.28855
781.4503,300,1388.288556
738.88947,300,1388.288563
778.71484,300,1388.28857
761.2057,300,1388.288576
809.3444,300,1388.288584
749.4819,300,1388.28859
753.7381,300,1388.288596
623.784,300,1388.288603
786.8594,300,1388.28861
631.80884,300,1388.288616
783.1029,300,1388.288622
660.78107,300,1388.288628
514.9442,300,1388.288634
658.25165,300,1388.28864
775.26215,300,1388.288647
786.0028,300,1388.288653
512.3637,300,1388.288659
585.8426,300,1388.288665
806.6052,300,1388.288672
632.1804,300,1388.288679
759.15967,300,1388.288685
458.1748,300,1388.28869
495.49683,300,1388.288697
548.653,300,1388.288702
785.8228,300,1388.288709
657.2964,300,1388.288716
765.64233,300,1388.288721
785.7798,300,1388.288727
780.09814,300,1388.288733
764.7906,300,1388.288739
664.55176,300,1388.288745
409.16336,300,1388.288751
771.2674,300,1388.288757
793.46063,300,1388.288762
785.2007,300,1388.288769
746.2258,300,1388.288775
739.55096,300,1388.288781
783.6743,300,1388.288787
802.0509,300,1388.288793
779.21844,300,1388.288799
782.59406,300,2052.450674
756.69476,300,2052.450882
775.0936,300,2052.450897
729.25793,300,2052.450904
800.6316,300,2052.45091
771.3224,300,2052.450917
553.7259,300,2052.450924
697.91797,300,2052.450931
780.22186,300,2052.450937
787.492,300,2052.450943
778.7571,300,2052.450949
754.2523,300,2052.450955
813.99896,300,2052.450962
747.96484,300,2052.450968
752.5151,300,2052.450974
623.2716,300,2052.45098
779.7568,300,2052.450986
641.5256,300,2052.450992
776.88745,300,2052.450998
660.4737,300,2052.451005
418.65222,300,2052.45101
674.8924,300,2052.451016
768.62225,300,2052.451023
780.5218,300,2052.451029
510.34924,300,2052.451035
545.6189,300,2052.451042
809.09314,300,2052.451048
641.93805,300,2052.451055
762.3028,300,2052.451061
452.26752,300,2052.451067
554.34686,300,2052.451073
484.8933,300,2052.451079
782.61914,300,2052.451086
686.846,300,2052.451093
764.697,300,2052.451099
779.1557,300,2052.451106
