#{"t_start": 1788796046.6613102, "env_id": "None"}
r,l,t
681.77234,300,677.284077
659.2358,300,677.284187
654.1139,300,677.284199
680.1957,300,677.284208
631.2441,300,677.284214
664.66766,300,677.284221
650.0481,300,677.284228
445.14386,300,677.284237
591.1562,300,677.284244
694.93207,300,677.28425
644.10675,300,677.284256
667.4628,300,677.284263
632.19214,300,677.28427
682.8174,300,677.284276
640.85095,300,677.284282
651.2203,300,677.284288
466.27618,300,677.284294
662.51666,300,677.2843
504.14954,300,677.284306
661.5586,300,677.284312
524.42206,300,677.284318
441.9736,300,677.284324
573.38586,300,677.284331
658.49695,300,677.284336
666.93097,300,677.284342
417.4793,300,677.284348
498.4035,300,677.284355
682.9072,300,677.284362
525.5439,300,677.284369
664.8349,300,677.284381
396.71204,300,677.284388
380.0273,300,677.284395
461.21606,300,677.284402
652.9379,300,677.284409
577.65216,300,677.284415
659.17065,300,677.284421
662.90173,300,677.284427
652.0975,300,677.284433
645.9055,300,677.284439
575.82135,300,677.284445
267.62433,300,677.284451
666.0772,300,677.284456
684.4385,300,677.284464
676.23395,300,677.28447
628.08014,300,677.284476
627.0949,300,677.284482
669.0902,300,677.284487
690.1081,300,677.284493
783.8914,300,1334.367141
783.66437,300,1334.367233
766.9499,300,1334.367244
776.9901,300,1334.367251
749.1843,300,1334.367258
801.171,300,1334.367264
772.5667,300,1334.36727
551.3391,300,1334.367277
722.2878,300,1334.367283
786.54034,300,1334.36729
801.33594,300,1334.367296
779.9726,300,1334.367303
771.0577,300,1334.36731
816.32556,300,1334.367316
762.0726,300,1334.367323
764.6749,300,1334.367328
641.3853,300,1334.367335
782.707,300,1334.367341
632.55,300,1334.367347
778.935,300,1334.367352
651.9231,300,1334.367358
530.4785,300,1334.367364
743.0188,300,1334.36737
779.8526,300,1334.367382
785.5423,300,1334.367388
510.50537,300,1334.367394
570.72705,300,1334.367401
809.3079,300,1334.367407
660.75543,300,1334.367413
769.55225,300,1334.36742
466.9628,300,1334.367426
564.1537,300,1334.367432
544.88544,300,1334.367438
783.23883,300,1334.367444
742.8186,300,1334.36745
769.9388,300,1334.367456
778.99396,300,1334.367462
779.1216,300,1334.367468
812.64,300,1334.367473
781.0849,300,1334.367479
422.90833,300,1334.367485
777.2231,300,1334.367491
799.01807,300,1334.367498
783.5896,300,1334.367504
758.7677,300,1334.36751
755.3597,300,1334.367516
782.9685,300,1334.367522
800.5045,300,1334.367528
787.1257,300,1992.782733
786.47675,300,1992.782826
767.65027,300,1992.782838
778.7046,300,1992.782845
741.87823,300,1992.782852
794.2927,300,1992.782858
777.5411,300,1992.782864
568.16125,300,1992.78287
710.4212,300,1992.782876
789.0364,300,1992.782883
786.0194,300,1992.782888
782.4359,300,1992.782895
769.6266,300,1992.782901
789.6166,300,1992.782907
753.92224,300,1992.782913
764.2529,300,1992.782919
558.79675,300,1992.782925
785.3733,300,1992.782931
602.3648,300,1992.782937
784.7765,300,1992.782943
665.139,300,1992.782949
568.567,300,1992.782955
750.4451,300,1992.782962
781.72144,300,1992.782968
789.3838,300,1992.782974
520.64075,300,1992.782981
612.9499,300,1992.782988
796.4444,300,1992.782994
629.36755,300,1992.783
764.8013,300,1992.783006
456.977,300,1992.783012
476.87253,300,1992.783018
585.99493,300,1992.783026
787.3149,300,1992.783033
756.22614,300,1992.783039
769.00104,300,1992.783045
786.381,300,1992.783051
784.0021,300,1992.783057
786.94836,300,1992.783062
766.7716,300,1992.783068
460.40863,300,1992.783074
779.42834,300,1992.783079
798.25903,300,1992.783086
785.7509,300,1992.783092
750.15063,300,1992.783098
749.9082,300,1992.783103
788.64935,300,1992.783109
801.69214,300,1992.783114
786.6815,300,2655.981105
789.995,300,2655.981194
767.88873,300,2655.981205
780.35864,300,2655.981212
734.4042,300,2655.981219
812.3222,300,2655.981225
772.83124,300,2655.981232
568.65753,300,2655.981238
696.12054,300,2655.981244
788.25977,300,2655.98125
802.50104,300,2655.981257
782.6859,300,2655.981263
770.6298,300,2655.981273
799.999,300,2655.98128
748.02216,300,2655.981286
755.6695,300,2655.981292
528.7076,300,2655.981298
786.75354,300,2655.981303
553.27673,300,2655.98131
783.8834,300,2655.981316
584.40137,300,2655.981321
546.6993,300,2655.981327
727.8436,300,2655.981334
779.4896,300,2655.98134
785.5103,300,2655.981346
513.1021,300,2655.981352
618.3148,300,2655.981358
810.363,300,2655.981364
581.67847,300,2655.98137
761.65936,300,2655.981382
460.7411,300,2655.981388
538.8919,300,2655.981395
589.91296,300,2655.981401
786.9861,300,2655.981408
741.37915,300,2655.981414
767.2798,300,2655.98142
785.62335,300,2655.981426
785.8917,300,2655.981431
799.1113,300,2655.981437
758.33777,300,2655.981443
413.47723,300,2655.981448
775.32355,300,2655.981454
812.2436,300,2655.981462
788.0794,300,2655.981468
746.10034,300,2655.981473
741.76495,300,2655.981479
786.1106,300,2655.981485
802.0089,300,2655.981491
741.80237,300,3320.369063
767.46014,300,3320.369159
761.0334,300,3320.369169
768.9903,300,3320.369177
741.8136,300,3320.369183
802.6843,300,3320.369189
741.9252,300,3320.369195
529.26184,300,3320.369201
695.7891,300,3320.369207
757.5406,300,3320.369213
802.2107,300,3320.369219
769.9335,300,3320.369226
736.6164,300,3320.369232
796.2173,300,3320.369238
748.49457,300,3320.369244
754.1241,300,3320.36925
468.66162,300,3320.369256
762.8925,300,3320.369262
497.50723,300,3320.369268
771.855,300,3320.369274
558.2333,300,3320.36928
408.95886,300,3320.369285
740.8513,300,3320.369301
769.1232,300,3320.369309
766.14746,300,3320.369315
446.23123,300,3320.369321
602.5734,300,3320.369328
797.303,300,3320.369334
597.92725,300,3320.36934
753.1975,300,3320.369346
403.92563,300,3320.369352
469.8358,300,3320.369359
511.7108,300,3320.369366
767.9209,300,3320.369372
