#{"t_start": 1788786858.8836718, "env_id": "None"}
r,l,t
669.97504,300,657.908446
359.84366,300,657.908557
638.5737,300,657.908569
373.54443,300,657.908577
563.98755,300,657.908583
462.01813,300,657.908591
195.03561,300,657.908597
333.20258,300,657.908606
668.79987,300,657.908613
625.1019,300,657.908619
670.32477,300,657.908625
397.54117,300,657.908631
453.0194,300,657.908638
361.73523,300,657.908644
518.4652,300,657.908649
253.95395,300,657.908655
653.79034,300,657.908661
278.9397,300,657.908666
599.00305,300,657.908672
343.53607,300,657.908678
134.53412,300,657.908684
309.29996,300,657.90869
362.682,300,657.908697
671.344,300,657.908702
117.181175,300,657.908708
52.247746,300,657.908714
297.15652,300,657.90872
140.58003,300,657.908729
486.76035,300,657.908735
84.4784,300,657.908742
373.4136,300,657.908748
218.62703,300,657.908754
584.2948,300,657.908762
348.09476,300,657.908767
437.5756,300,657.908773
656.4283,300,657.908779
712.58014,300,657.908785
624.57025,300,657.908791
175.66293,300,657.908797
144.77165,300,657.908802
581.63385,300,657.908808
98.690834,300,657.908813
634.49756,300,657.90882
409.3906,300,657.908826
316.6921,300,657.908832
658.6825,300,657.908837
533.1855,300,657.908843
587.2728,300,657.908848
647.9657,300,1297.585545
288.87656,300,1297.585629
602.893,300,1297.58564
287.89352,300,1297.585648
513.15894,300,1297.585654
480.79144,300,1297.585661
-727.3886,300,1297.585667
250.90234,300,1297.585673
643.0065,300,1297.585679
561.79565,300,1297.585686
590.0915,300,1297.585692
322.5076,300,1297.585698
403.228,300,1297.585706
307.4294,300,1297.585712
408.40103,300,1297.585718
210.56439,300,1297.585724
603.29065,300,1297.58573
164.53345,300,1297.585736
548.868,300,1297.585742
225.60532,300,1297.585748
-293.61514,300,1297.585754
245.2269,300,1297.58576
359.46655,300,1297.585766
638.5693,300,1297.585772
-1473.6519,300,1297.585778
116.94992,300,1297.585784
324.39615,300,1297.58579
-174.54716,300,1297.585796
384.58353,300,1297.585803
-2998.4475,300,1297.585809
246.34586,300,1297.585814
163.98735,300,1297.58582
515.9203,300,1297.585827
243.83124,300,1297.585833
362.14862,300,1297.585838
608.34515,300,1297.585844
662.6147,300,1297.58585
568.01935,300,1297.585855
218.22807,300,1297.585861
-1154.6437,300,1297.585866
470.51184,300,1297.585872
262.58862,300,1297.585878
574.2928,300,1297.585885
326.1084,300,1297.58589
252.25539,300,1297.585896
629.4123,300,1297.585901
424.91647,300,1297.585907
516.87823,300,1297.585913
746.7939,300,1959.175115
358.8825,300,1959.175192
705.2594,300,1959.17522
335.11298,300,1959.175228
653.7228,300,1959.175234
639.3193,300,1959.175241
177.06816,300,1959.175247
256.45645,300,1959.175253
754.8637,300,1959.175259
677.5712,300,1959.175265
