#{"t_start": 1788795225.4987812, "env_id": "None"}
r,l,t
-1369.2181,300,668.478963
405.7178,300,668.479082
423.22723,300,668.479094
176.11398,300,668.479102
411.08853,300,668.479109
235.36264,300,668.479115
388.4583,300,668.479122
395.6905,300,668.47913
-734.8852,300,668.479138
158.48926,300,668.479144
426.77258,300,668.47915
404.7725,300,668.479156
358.39264,300,668.479162
204.79025,300,668.479168
355.0137,300,668.479174
263.91885,300,668.479179
319.9618,300,668.479185
110.21763,300,668.479191
418.81766,300,668.479197
185.82637,300,668.479203
411.76315,300,668.479208
211.43242,300,668.479214
70.61043,300,668.47922
175.54271,300,668.479226
183.72728,300,668.479232
428.34415,300,668.479238
57.703754,300,668.479244
140.32248,300,668.479251
333.24014,300,668.479257
122.66984,300,668.479264
302.81918,300,668.47927
-2595.602,300,668.479276
231.25558,300,668.479281
103.93829,300,668.479287
396.0415,300,668.479293
253.93202,300,668.479299
321.5389,300,668.479304
402.4757,300,668.47931
428.40628,300,668.479316
403.14124,300,668.479322
88.77737,300,668.479327
-1152.9882,300,668.479333
365.07385,300,668.479339
-147.41698,300,668.479344
365.45975,300,668.47935
288.03436,300,668.479356
136.10814,300,668.479361
414.7826,300,668.479367
85.58656,300,1322.519768
335.59042,300,1322.519851
336.24542,300,1322.519861
146.17499,300,1322.519868
315.54074,300,1322.519874
154.71956,300,1322.519881
279.9063,300,1322.519886
287.38904,300,1322.519893
-327.09384,300,1322.519899
144.9077,300,1322.519906
334.87866,300,1322.519912
301.91245,300,1322.519918
224.893,300,1322.519924
150.52725,300,1322.51993
259.24057,300,1322.519936
151.93446,300,1322.519942
208.52974,300,1322.519948
122.51333,300,1322.519954
310.33014,300,1322.51996
156.89264,300,1322.519965
235.38664,300,1322.519971
186.29929,300,1322.519977
85.79587,300,1322.519983
134.83,300,1322.519989
151.28256,300,1322.519994
333.72644,300,1322.52
76.53283,300,1322.520007
127.026825,300,1322.520013
224.04353,300,1322.520025
116.54672,300,1322.520031
239.7505,300,1322.520037
-2550.721,300,1322.520043
188.21542,300,1322.520049
133.34933,300,1322.520055
227.14886,300,1322.520061
213.75688,300,1322.520066
203.59254,300,1322.520072
311.57983,300,1322.520077
252.7219,300,1322.520083
296.6874,300,1322.520089
113.493355,300,1322.520094
-158.82753,300,1322.5201
269.9392,300,1322.520106
87.832565,300,1322.520112
225.62584,300,1322.520118
235.70305,300,1322.520124
138.44006,300,1322.520129
340.1064,300,1322.520135
69.575195,300,1995.898517
330.42566,300,1995.898601
372.14108,300,1995.898611
199.544,300,1995.898618
326.08282,300,1995.898624
184.33708,300,1995.89863
311.23248,300,1995.898637
276.27585,300,1995.898643
91.09795,300,1995.89865
157.83844,300,1995.898656
348.21356,300,1995.898662
310.54773,300,1995.898668
255.56422,300,1995.898673
214.21864,300,1995.898679
262.7605,300,1995.898685
191.6232,300,1995.89869
213.4495,300,1995.898696
122.14331,300,1995.898702
309.65744,300,1995.898708
173.81242,300,1995.898714
262.19604,300,1995.89872
186.53728,300,1995.898725
72.431015,300,1995.898731
175.09782,300,1995.898737
213.58644,300,1995.898744
402.84766,300,1995.89875
-1328.2045,300,1995.898756
142.37517,300,1995.898762
214.29007,300,1995.898769
128.01334,300,1995.898774
253.53491,300,1995.89878
38.459846,300,1995.898786
200.06114,300,1995.898792
117.44579,300,1995.898798
188.44577,300,1995.898804
214.51758,300,1995.898809
255.44736,300,1995.898815
326.5081,300,1995.898821
252.66573,300,1995.898826
292.872,300,1995.898832
82.566666,300,1995.898838
82.702034,300,1995.898844
273.4445,300,1995.89885
-32.848495,300,1995.898855
239.56227,300,1995.898861
232.98628,300,1995.898867
139.11098,300,1995.898873
378.7618,300,1995.898878
104.44929,300,2666.990727
617.41895,300,2666.990811
642.77106,300,2666.990822
283.61893,300,2666.990829
618.47943,300,2666.990836
228.84908,300,2666.990842
551.70184,300,2666.990848
497.02533,300,2666.990854
146.84148,300,2666.990861
201.81602,300,2666.990867
654.61865,300,2666.990878
575.9294,300,2666.990885
363.74518,300,2666.990891
256.82864,300,2666.990897
468.61395,300,2666.990903
270.76852,300,2666.990909
499.64847,300,2666.990915
143.69289,300,2666.990921
614.82416,300,2666.990926
233.06374,300,2666.990932
416.2398,300,2666.990937
299.8105,300,2666.990943
116.33753,300,2666.990949
256.55518,300,2666.990956
288.43488,300,2666.990961
652.2871,300,2666.990968
-785.97577,300,2666.990974
199.90411,300,2666.99098
373.91663,300,2666.990986
160.27345,300,2666.990992
474.2332,300,2666.990999
52.995804,300,2666.991004
303.3039,300,2666.99101
184.12044,300,2666.991016
587.2378,300,2666.991105
337.22122,300,2666.991112
357.3128,300,2666.991118
617.5568,300,2666.991124
551.83734,300,2666.99113
572.0176,300,2666.991135
185.71213,300,2666.991141
