#{"t_start": 1788799454.5618412, "env_id": "None"}
r,l,t
-1358.2543,300,703.496931
279.71042,300,703.497036
285.14948,300,703.497049
176.45523,300,703.497057
270.77853,300,703.497064
142.8798,300,703.497071
273.03592,300,703.497077
250.39635,300,703.497086
-724.62213,300,703.497093
119.29993,300,703.497099
273.8803,300,703.497105
265.6683,300,703.497111
159.58795,300,703.497118
149.66908,300,703.497124
225.6791,300,703.49713
163.7803,300,703.497136
187.8786,300,703.497142
91.02267,300,703.497148
260.93875,300,703.497154
133.80089,300,703.49716
254.11447,300,703.497166
156.7904,300,703.497172
93.03668,300,703.497178
167.05786,300,703.497184
185.91362,300,703.49719
289.69083,300,703.497196
78.00918,300,703.497202
123.21199,300,703.497209
212.37541,300,703.497216
105.388664,300,703.497223
202.30373,300,703.49723
-2579.7483,300,703.497236
163.57433,300,703.497244
109.93968,300,703.49725
206.30904,300,703.497256
160.84602,300,703.497262
204.05927,300,703.497268
273.11502,300,703.497273
148.07991,300,703.497279
267.49982,300,703.497286
118.948044,300,703.497291
-1151.6986,300,703.497297
218.17249,300,703.497304
108.48636,300,703.497311
190.68275,300,703.497317
188.08554,300,703.497322
103.19512,300,703.497328
291.63663,300,703.497334
-1387.9758,300,1391.991856
164.96536,300,1391.991938
174.33064,300,1391.991949
159.54684,300,1391.991956
162.20003,300,1391.991962
173.2525,300,1391.991968
150.96342,300,1391.991974
154.98145,300,1391.99198
-705.0472,300,1391.991987
133.0128,300,1391.991993
171.92953,300,1391.992
164.82552,300,1391.992007
244.68742,300,1391.992013
192.09062,300,1391.99202
142.00615,300,1391.992026
172.09882,300,1391.992031
124.50626,300,1391.992037
115.18962,300,1391.992043
165.70897,300,1391.992049
95.229546,300,1391.992055
225.0063,300,1391.99206
89.4383,300,1391.992066
-216.3188,300,1391.992073
152.69864,300,1391.992079
195.35724,300,1391.992085
176.94815,300,1391.992091
-1459.3857,300,1391.992097
104.18511,300,1391.992103
125.48999,300,1391.992109
-171.02135,300,1391.992115
120.4812,300,1391.992121
-2991.1714,300,1391.992127
92.15393,300,1391.992134
57.206043,300,1391.99214
165.12039,300,1391.992146
104.54763,300,1391.992152
181.14343,300,1391.992157
161.51492,300,1391.992164
272.9686,300,1391.99217
160.51772,300,1391.992176
137.26706,300,1391.992182
51.363426,300,1391.992188
139.47473,300,1391.992195
140.63669,300,1391.992201
242.52309,300,1391.992207
110.23303,300,1391.992213
151.55855,300,1391.992218
168.12917,300,1391.992224
71.9152,300,2075.08432
281.3533,300,2075.084401
285.4162,300,2075.084412
169.25708,300,2075.084419
258.07224,300,2075.084426
181.20743,300,2075.084432
241.79536,300,2075.084438
221.50336,300,2075.084445
108.550026,300,2075.08445
206.14656,300,2075.084457
291.08145,300,2075.084463
260.29553,300,2075.084469
303.3365,300,2075.084476
221.48395,300,2075.084482
143.64679,300,2075.084488
178.66745,300,2075.084494
184.65431,300,2075.0845
164.63905,300,2075.084506
269.60498,300,2075.084512
142.02823,300,2075.084517
282.99988,300,2075.084523
113.239944,300,2075.084529
98.37013,300,2075.084536
170.31197,300,2075.084542
206.18889,300,2075.084549
291.67017,300,2075.084556
74.005226,300,2075.084563
131.41489,300,2075.084569
42.744,300,2075.084575
116.540344,300,2075.08458
218.30484,300,2075.084586
56.21559,300,2075.084593
143.2093,300,2075.0846
111.1681,300,2075.084606
204.9761,300,2075.084612
101.63378,300,2075.084618
227.9787,300,2075.084624
271.0339,300,2075.08463
282.26395,300,2075.084635
261.1872,300,2075.084641
149.52492,300,2075.084647
111.96919,300,2075.084653
247.13458,300,2075.084661
136.74657,300,2075.084666
240.80246,300,2075.084672
164.31473,300,2075.084678
182.78548,300,2075.084684
285.35495,300,2075.08469
-1015.1165,300,2770.157615
472.11594,300,2770.157698
509.44928,300,2770.157709
287.3358,300,2770.157717
480.1509,300,2770.157723
320.7959,300,2770.157729
407.74512,300,2770.157736
401.94656,300,2770.157743
151.64693,300,2770.157749
279.50793,300,2770.157755
522.19165,300,2770.157766
419.45303,300,2770.157773
514.0819,300,2770.157779
376.26047,300,2770.157785
375.3086,300,2770.157791
303.08038,300,2770.157805
388.7396,300,2770.157811
232.08214,300,2770.157817
469.0858,300,2770.157823
237.11133,300,2770.157829
470.8677,300,2770.157835
256.57858,300,2770.157841
131.02692,300,2770.157849
274.60468,300,2770.157855
326.79156,300,2770.157861
518.3013,300,2770.157867
-1475.856,300,2770.157873
207.73181,300,2770.157879
254.43228,300,2770.157884
191.05005,300,2770.157891
345.88013,300,2770.157897
-2831.2039,300,2770.157903
266.83755,300,2770.15791
165.61017,300,2770.157916
447.75912,300,2770.157922
283.1584,300,2770.157928
361.27405,300,2770.157933
476.92822,300,2770.157939
545.8323,300,2770.157945
437.7084,300,2770.157951
242.37097,300,2770.157956
133.91391,300,2770.157962
398.2405,300,2770.157969
121.45435,300,2770.157974
378.2738,300,2770.15798
343.4382,300,2770.157986
295.69928,300,2770.157992
506.14053,300,2770.157997
74.876686,300,3466.268509
499.44516,300,3466.26859
511.14304,300,3466.268602
174.67946,300,3466.26861
491.5637,300,3466.268616
221.18585,300,3466.268623
