#{"t_start": 1788799875.9066544, "env_id": "None"}
r,l,t
427.7933,300,724.2984
402.89783,300,724.298505
-785.30786,300,724.298526
257.2956,300,724.298533
544.59955,300,724.29854
439.30905,300,724.298547
251.24995,300,724.298553
312.31262,300,724.298562
361.6949,300,724.29857
296.58728,300,724.298575
354.9956,300,724.298582
219.92522,300,724.298588
480.1773,300,724.298594
225.97774,300,724.2986
422.93964,300,724.298606
261.97284,300,724.298612
142.70772,300,724.298618
267.75497,300,724.298624
282.82486,300,724.29863
553.0503,300,724.298636
-1216.8912,300,724.298641
195.4733,300,724.298647
329.70496,300,724.298654
166.16716,300,724.29866
348.49805,300,724.298666
-2406.5906,300,724.298671
270.82,300,724.298678
192.7495,300,724.298685
401.79947,300,724.29869
277.3805,300,724.298699
340.6297,300,724.298706
476.56494,300,724.298711
293.86902,300,724.298719
433.98203,300,724.298725
232.94345,300,724.298731
146.02489,300,724.298737
396.5,300,724.298742
153.70784,300,724.298748
250.22736,300,724.298754
319.2151,300,724.298759
183.36911,300,724.298765
529.7189,300,724.29877
215.89671,300,724.298777
405.53488,300,724.298783
102.52477,300,724.298789
208.17378,300,724.298794
474.36246,300,724.2988
273.14,300,724.298805
403.87527,300,1499.658214
393.20453,300,1499.658313
161.65123,300,1499.658324
247.37697,300,1499.658332
500.6241,300,1499.658338
409.68497,300,1499.658345
441.7144,300,1499.658351
360.69565,300,1499.658357
364.98987,300,1499.658364
317.36496,300,1499.65837
327.48584,300,1499.658377
225.90108,300,1499.658384
447.61337,300,1499.658391
227.28285,300,1499.658397
414.74216,300,1499.658403
243.45268,300,1499.658409
132.91646,300,1499.658415
282.25085,300,1499.658421
352.9902,300,1499.658427
492.21475,300,1499.658433
117.3258,300,1499.658439
191.35414,300,1499.658445
327.5412,300,1499.658452
165.40027,300,1499.658458
320.22916,300,1499.658463
89.42945,300,1499.65847
260.50858,300,1499.658477
171.69524,300,1499.658483
380.88724,300,1499.658489
299.04712,300,1499.658494
349.2582,300,1499.6585
449.89365,300,1499.658511
523.66473,300,1499.658519
418.69812,300,1499.658525
261.5452,300,1499.658532
136.3291,300,1499.658538
375.4691,300,1499.658544
259.2128,300,1499.658549
457.41913,300,1499.658555
300.9815,300,1499.65856
287.51212,300,1499.658566
472.78802,300,1499.658572
404.00763,300,1499.658579
387.46338,300,1499.658585
96.19868,300,1499.658591
184.84558,300,1499.658597
433.36853,300,1499.658603
278.7583,300,1499.658608
449.4804,300,2204.079135
434.6197,300,2204.079228
162.6128,300,2204.07924
237.31033,300,2204.079247
563.38403,300,2204.079255
467.4386,300,2204.079261
454.75623,300,2204.079268
349.64963,300,2204.079274
389.2012,300,2204.07928
303.84055,300,2204.079287
359.57236,300,2204.079293
207.9909,300,2204.079299
501.48758,300,2204.079307
236.27586,300,2204.079313
453.51044,300,2204.079319
268.00458,300,2204.079326
136.09016,300,2204.079332
278.709,300,2204.079338
361.06183,300,2204.079345
557.1995,300,2204.079351
115.675354,300,2204.079357
192.43614,300,2204.079363
370.81305,300,2204.07937
169.55432,300,2204.079376
367.8986,300,2204.079383
-1508.313,300,2204.07939
274.13583,300,2204.079396
183.39948,300,2204.079403
434.6938,300,2204.07941
317.79922,300,2204.079416
361.3041,300,2204.079422
512.84247,300,2204.079428
556.37885,300,2204.079436
466.30157,300,2204.079443
261.43536,300,2204.079449
142.52399,300,2204.079455
421.86142,300,2204.07946
300.58765,300,2204.079466
471.45514,300,2204.079472
325.18466,300,2204.079478
261.39618,300,2204.079484
554.8118,300,2204.079489
387.20813,300,2204.079496
443.12555,300,2204.079502
-662.66614,300,2204.079515
199.07347,300,2204.079521
490.83453,300,2204.079527
322.48392,300,2204.079533
326.85474,300,2942.115667
327.67743,300,2942.115773
-420.37134,300,2942.115785
203.40659,300,2942.115793
