#{"t_start": 1788792624.5364885, "env_id": "None"}
r,l,t
262.9659,300,676.698714
166.20555,300,676.698831
-1191.5137,300,676.698844
341.19876,300,676.698852
357.32098,300,676.698859
192.15022,300,676.698866
321.51654,300,676.698872
176.32567,300,676.698881
303.28522,300,676.698888
298.81793,300,676.698895
131.14177,300,676.698901
151.33168,300,676.698907
348.1458,300,676.698914
314.27133,300,676.69892
252.15167,300,676.698926
154.64653,300,676.698932
262.51566,300,676.698938
201.20322,300,676.698944
236.57954,300,676.69895
134.92792,300,676.698956
315.24094,300,676.698961
189.79135,300,676.698967
318.2577,300,676.698974
201.24496,300,676.69898
-208.86891,300,676.698986
177.64673,300,676.698993
219.53595,300,676.698999
361.9507,300,676.699008
95.9786,300,676.699015
143.06271,300,676.699021
243.46048,300,676.699027
138.64572,300,676.699033
251.20422,300,676.699039
-2685.8704,300,676.699045
192.57603,300,676.699067
149.13445,300,676.699073
274.04333,300,676.699079
209.49405,300,676.699085
225.69026,300,676.699091
307.00076,300,676.699096
292.55466,300,676.699104
328.19653,300,676.699109
95.285225,300,676.699116
115.26868,300,676.699122
283.89008,300,676.699128
131.4356,300,676.699133
236.41238,300,676.69914
231.31555,300,676.699146
215.94289,300,1324.215993
147.01653,300,1324.216086
101.90837,300,1324.216098
240.08441,300,1324.216105
239.81758,300,1324.216111
212.04898,300,1324.216118
231.65736,300,1324.216124
203.21019,300,1324.21613
221.01141,300,1324.216137
222.09767,300,1324.216143
114.76064,300,1324.21615
173.72209,300,1324.216156
254.01595,300,1324.216162
225.5189,300,1324.216168
274.19278,300,1324.216175
234.23547,300,1324.21618
214.98729,300,1324.216186
216.08113,300,1324.216192
189.5073,300,1324.216198
163.03233,300,1324.216204
244.15169,300,1324.21621
159.47946,300,1324.216216
259.05002,300,1324.216223
163.14139,300,1324.216229
97.98606,300,1324.216235
187.25452,300,1324.216241
229.93661,300,1324.216247
265.50827,300,1324.216253
87.6539,300,1324.216259
150.70157,300,1324.216265
196.75208,300,1324.21627
137.63423,300,1324.216276
195.63997,300,1324.216283
80.36722,300,1324.216288
156.42049,300,1324.216294
127.34456,300,1324.2163
229.39505,300,1324.216306
185.90923,300,1324.216312
217.91699,300,1324.216318
243.35956,300,1324.216324
294.52637,300,1324.216329
226.6539,300,1324.216335
186.71541,300,1324.216341
101.259995,300,1324.216347
201.01024,300,1324.216353
210.55467,300,1324.216359
274.2382,300,1324.216365
189.90697,300,1324.216371
262.333,300,1992.837946
142.95602,300,1992.838034
-1148.4601,300,1992.838045
332.97028,300,1992.838058
336.2393,300,1992.838065
219.45851,300,1992.838072
283.50443,300,1992.838079
173.15227,300,1992.838085
239.85838,300,1992.838091
227.53108,300,1992.838097
-446.10788,300,1992.838104
162.52296,300,1992.83811
315.37036,300,1992.838117
246.63431,300,1992.838123
276.4367,300,1992.83813
214.85405,300,1992.838136
257.87628,300,1992.838142
190.1266,300,1992.838148
213.31807,300,1992.838154
135.44202,300,1992.83816
292.9494,300,1992.838166
170.45366,300,1992.838172
286.53638,300,1992.838179
181.96991,300,1992.838185
97.84739,300,1992.838191
186.82121,300,1992.838198
234.70934,300,1992.838205
305.40643,300,1992.838211
-1429.3086,300,1992.838217
151.01222,300,1992.838223
218.68973,300,1992.838229
5.3926945,300,1992.838236
202.74861,300,1992.838244
-2707.0144,300,1992.83825
177.37851,300,1992.838256
137.34944,300,1992.838262
311.35468,300,1992.838267
204.06064,300,1992.838273
235.64098,300,1992.838279
282.43796,300,1992.838285
300.4489,300,1992.838291
246.55898,300,1992.838296
176.92725,300,1992.838303
-735.1134,300,1992.838309
230.34062,300,1992.838315
143.3336,300,1992.838321
274.57654,300,1992.838327
204.98178,300,1992.838333
356.68497,300,2655.3929
206.39606,300,2655.392999
135.34024,300,2655.393012
456.78842,300,2655.39302
470.85492,300,2655.393027
263.40927,300,2655.393033
401.41367,300,2655.393041
252.34288,300,2655.393053
375.76526,300,2655.393059
372.3439,300,2655.393071
162.46335,300,2655.393079
214.5974,300,2655.393085
500.62625,300,2655.393092
378.5572,300,2655.393099
352.4409,300,2655.393105
282.00723,300,2655.393111
327.46176,300,2655.393117
261.03705,300,2655.393123
303.40527,300,2655.393129
195.79306,300,2655.393135
420.99332,300,2655.393142
216.49014,300,2655.393148
368.59293,300,2655.393155
234.03903,300,2655.393161
144.86295,300,2655.393167
233.81349,300,2655.393174
307.32895,300,2655.39318
496.64798,300,2655.393187
-300.57764,300,2655.393193
194.09038,300,2655.393199
302.9386,300,2655.393205
175.72032,300,2655.393211
291.17825,300,2655.393218
100.29555,300,2655.393225
242.47014,300,2655.393231
181.22713,300,2655.393237
402.2623,300,2655.393243
258.2485,300,2655.393249
293.43277,300,2655.393255
407.9727,300,2655.393261
454.39655,300,2655.393267
379.18802,300,2655.393274
233.80447,300,2655.39328
147.87445,300,2655.393286
331.42642,300,2655.393292
243.54376,300,2655.393297
376.08215,300,2655.393303
272.7452,300,2655.393309
257.9734,300,3323.032099
102.52687,300,3323.03218
61.864063,300,3323.032192
339.70935,300,3323.0322
353.12506,300,3323.032207
205.22688,300,3323.032213
302.39038,300,3323.032219
193.94719,300,3323.032225
225.58252,300,3323.032231
224.29118,300,3323.032237
80.399734,300,3323.032243
190.11967,300,3323.032249
394.5195,300,3323.032256
235.85309,300,3323.032262
309.18692,300,3323.032267
220.68057,300,3323.032273
198.50246,300,3323.032279
195.305,300,3323.032285
197.03107,300,3323.032291
163.23311,300,3323.032297
292.98044,300,3323.032303
133.29405,300,3323.032309
306.21616,300,3323.032315
139.72002,300,3323.032322
82.05309,300,3323.032328
200.28154,300,3323.032334
219.89734,300,3323.03234
411.64154,300,3323.032347
-1570.2385,300,3323.032353
141.6281,300,3323.032359
175.09305,300,3323.032365
105.9473,300,3323.032371
170.23328,300,3323.032377
-3228.964,300,3323.032382
131.25592,300,3323.032388
94.336044,300,3323.032394
293.10782,300,3323.0324
157.10115,300,3323.032406
229.369,300,3323.032412
302.34995,300,3323.032418
337.242,300,3323.032423
253.84221,300,3323.032429
176.51382,300,3323.032436
74.58769,300,3323.032441
203.56802,300,3323.032447
174.53726,300,3323.032453
254.3906,300,3323.032458
158.55437,300,3323.032464
376.96323,300,3958.075123
208.05833,300,3958.075199
143.01007,300,3958.075209
474.23593,300,3958.075217
495.3487,300,3958.075223
298.663,300,3958.075229
417.96692,300,3958.075235
245.3652,300,3958.075242
379.7048,300,3958.075248
373.74298,300,3958.075254
170.67532,300,3958.07526
201.69946,300,3958.075266
532.4931,300,3958.075272
391.6526,300,3958.075279
364.97345,300,3958.075285
255.98985,300,3958.075291
347.95038,300,3958.075297
273.106,300,3958.075303
337.3397,300,3958.075309
180.17526,300,3958.075314
437.318,300,3958.07532
226.34564,300,3958.075326
408.58282,300,3958.075332
242.53302,300,3958.075338
160.59363,300,3958.075344
258.56247,300,3958.075349
321.88556,300,3958.075356
522.3858,300,3958.075361
135.68088,300,3958.075368
197.41838,300,3958.075373
314.83273,300,3958.075379
177.70917,300,3958.075385
291.5223,300,3958.075391
98.51599,300,3958.075397
256.88565,300,3958.075403
191.19815,300,3958.075409
418.622,300,3958.075414
274.4564,300,3958.07542
302.82385,300,3958.075426
440.37482,300,3958.075432
504.6256,300,3958.075438
385.21628,300,3958.075443
232.89685,300,3958.075449
147.38268,300,3958.075455
339.12018,300,3958.07546
236.98431,300,3958.075467
400.63577,300,3958.075472
280.8842,300,3958.075478
382.29852,300,4657.317464
168.62006,300,4657.317542
103.013695,300,4657.317553
402.56458,300,4657.317561
423.418,300,4657.317568
306.3119,300,4657.317574
423.87003,300,4657.31758
307.40677,300,4657.317587
370.47632,300,4657.317593
366.4277,300,4657.317599
125.217125,300,4657.317605
231.39018,300,4657.317611
412.69138,300,4657.317618
424.96173,300,4657.317623
360.46393,300,4657.317629
282.55423,300,4657.317635
244.94482,300,4657.317641
322.82544,300,4657.317647
376.9161,300,4657.317652
208.30635,300,4657.317662
409.68695,300,4657.317668
216.43193,300,4657.317674
350.8438,300,4657.31768
245.72742,300,4657.317686
97.51659,300,4657.317691
275.3759,300,4657.317698
317.18884,300,4657.317704
399.44556,300,4657.31771
-1389.5378,300,4657.317716
216.68607,300,4657.317723
-51.188316,300,4657.317728
186.86934,300,4657.317734
386.79947,300,4657.31774
100.94228,300,4657.317746
260.78275,300,4657.317752
130.45879,300,4657.317758
372.78915,300,4657.317764
220.81198,300,4657.317769
312.05173,300,4657.317776
421.8505,300,4657.317782
427.3677,300,4657.317788
422.49432,300,4657.317794
225.5382,300,4657.3178
151.48772,300,4657.317806
421.73206,300,4657.317812
244.31804,300,4657.317818
398.74078,300,4657.317823
357.73367,300,4657.31783
373.8745,300,5342.853546
207.13702,300,5342.853626
108.23572,300,5342.853637
461.90244,300,5342.853644
471.414,300,5342.853653
319.39578,300,5342.853658
435.64743,300,5342.853665
299.09732,300,5342.853671
364.73373,300,5342.853678
347.108,300,5342.853684
174.40758,300,5342.85369
211.84114,300,5342.853696
482.7505,300,5342.853702
378.07303,300,5342.853709
390.47037,300,5342.853715
291.22076,300,5342.85372
321.69547,300,5342.853726
330.62357,300,5342.853732
342.72137,300,5342.853738
170.57428,300,5342.853744
438.74615,300,5342.85375
251.71776,300,5342.853756
413.2549,300,5342.853762
238.49338,300,5342.853768
131.42575,300,5342.853774
290.0934,300,5342.85378
342.73715,300,5342.853786
498.15405,300,5342.853792
103.423775,300,5342.853798
214.78824,300,5342.853804
299.31006,300,5342.85381
194.86089,300,5342.853816
309.1561,300,5342.853822
78.98258,300,5342.853828
251.55594,300,5342.853834
187.86748,300,5342.85384
387.3105,300,5342.853846
266.02792,300,5342.853851
333.39954,300,5342.853857
433.24893,300,5342.853863
464.53983,300,5342.853869
394.7607,300,5342.853875
237.00957,300,5342.853881
131.64998,300,5342.853886
335.5662,300,5342.853892
273.34924,300,5342.853898
406.7816,300,5342.853904
296.78696,300,5342.853909
564.0741,300,6013.997594
208.6245,300,6013.99767
144.63805,300,6013.997682
594.4348,300,6013.99769
639.265,300,6013.997697
374.05942,300,6013.997703
637.55634,300,6013.99771
336.36438,300,6013.997716
468.88815,300,6013.997723
417.73666,300,6013.997729
165.11627,300,6013.997735
232.91087,300,6013.997741
622.37555,300,6013.997748
510.62152,300,6013.997754
463.72632,300,6013.99776
367.12405,300,6013.997766
370.55087,300,6013.997773
364.67877,300,6013.997779
481.55066,300,6013.997785
200.1711,300,6013.997791
601.7078,300,6013.997797
240.7457,300,6013.997803
470.6423,300,6013.997809
258.76517,300,6013.997815
153.31265,300,6013.99782
329.40167,300,6013.997826
403.23285,300,6013.997832
607.89954,300,6013.997839
134.71988,300,6013.997844
218.20323,300,6013.997851
332.8077,300,6013.997856
188.89485,300,6013.997863
346.46658,300,6013.997869
101.366264,300,6013.997876
265.88434,300,6013.997882
190.5133,300,6013.997887
568.5101,300,6013.997893
307.69992,300,6013.997899
387.38492,300,6013.997905
615.0068,300,6013.99791
527.2662,300,6013.997917
539.7003,300,6013.997922
275.9516,300,6013.997929
152.37889,300,6013.997935
449.05203,300,6013.997941
295.6335,300,6013.997947
477.59183,300,6013.997952
