#{"t_start": 1788791571.7444563, "env_id": "None"}
r,l,t
370.42078,300,657.586816
344.68777,300,657.586928
-810.86115,300,657.58694
222.34058,300,657.586949
500.13605,300,657.586956
382.57297,300,657.586962
298.37512,300,657.586968
281.5514,300,657.586977
311.84735,300,657.586984
287.83438,300,657.586991
300.13184,300,657.586997
193.19453,300,657.587003
426.56702,300,657.58701
196.08961,300,657.587016
393.57327,300,657.587022
220.48863,300,657.587028
118.288666,300,657.587034
248.97133,300,657.58704
301.53406,300,657.587046
512.2386,300,657.587052
-1236.3523,300,657.587057
180.54393,300,657.587063
281.10242,300,657.58707
147.84775,300,657.587076
297.81476,300,657.587082
-2415.96,300,657.587088
225.86168,300,657.587094
163.62314,300,657.587101
351.31226,300,657.587107
240.53241,300,657.587116
307.22458,300,657.587124
437.93454,300,657.58713
345.53464,300,657.587137
380.39255,300,657.587143
208.81584,300,657.587149
122.60191,300,657.587154
346.05734,300,657.58716
177.97838,300,657.587166
267.57196,300,657.587173
272.59064,300,657.587178
231.70674,300,657.587184
479.2008,300,657.58719
250.34557,300,657.587197
360.43005,300,657.587204
87.63532,300,657.587209
178.21307,300,657.587215
428.0678,300,657.587221
240.7648,300,657.587226
392.1362,300,1307.821698
380.54642,300,1307.821787
121.95136,300,1307.821799
233.63403,300,1307.821806
498.03308,300,1307.821813
400.77917,300,1307.821819
431.74008,300,1307.821825
333.53525,300,1307.821831
321.26642,300,1307.821837
298.7872,300,1307.821844
293.7997,300,1307.82185
197.3634,300,1307.821856
445.0173,300,1307.821864
196.93962,300,1307.82187
417.91373,300,1307.821876
203.237,300,1307.821882
107.44951,300,1307.821888
265.60287,300,1307.821894
340.51825,300,1307.8219
508.5051,300,1307.821906
-811.2753,300,1307.821912
172.17854,300,1307.821918
290.14517,300,1307.821925
137.8487,300,1307.82193
284.81384,300,1307.821937
-2906.9844,300,1307.821943
219.02873,300,1307.821949
136.77687,300,1307.821955
368.57953,300,1307.821961
249.83873,300,1307.821967
311.1288,300,1307.821973
446.1601,300,1307.821979
464.2542,300,1307.821985
406.80157,300,1307.821991
267.19287,300,1307.821997
105.064026,300,1307.822003
344.0631,300,1307.822009
269.10333,300,1307.822014
408.32,300,1307.82202
269.18878,300,1307.822026
