#{"t_start": 1788795827.467936, "env_id": "None"}
r,l,t
181.23785,300,772.815411
158.99838,300,772.815523
194.12999,300,772.815536
150.01346,300,772.815543
125.232315,300,772.81555
34.800915,300,772.815557
119.56772,300,772.815564
178.87352,300,772.815573
156.14497,300,772.815581
227.28923,300,772.815587
212.73277,300,772.815593
174.758,300,772.815599
182.20247,300,772.815606
155.82094,300,772.815613
107.044624,300,772.815619
157.76405,300,772.815625
138.62071,300,772.81563
172.09375,300,772.815636
120.75706,300,772.815643
58.374546,300,772.815649
160.91678,300,772.815655
202.43942,300,772.81566
159.19037,300,772.815667
-1604.4768,300,772.815673
95.5384,300,772.81568
134.5642,300,772.815686
79.91214,300,772.815692
145.4323,300,772.8157
-2968.8262,300,772.815706
128.89407,300,772.815715
79.58883,300,772.815722
165.63528,300,772.815727
149.67062,300,772.815734
162.32263,300,772.81574
139.87196,300,772.815746
221.32986,300,772.815752
149.54318,300,772.815758
74.673744,300,772.815765
62.131374,300,772.815771
187.0796,300,772.815777
2.9340384,300,772.815782
213.73305,300,772.815788
121.96217,300,772.815795
161.95259,300,772.8158
160.53018,300,772.815806
199.9174,300,772.815812
166.23582,300,772.815817
27.628868,300,772.815824
173.34784,300,1507.963199
138.88992,300,1507.963284
185.54507,300,1507.963295
122.7621,300,1507.963302
128.72012,300,1507.963309
36.92423,300,1507.963315
135.54506,300,1507.963322
156.17282,300,1507.963328
129.44069,300,1507.963334
268.14047,300,1507.963341
223.97751,300,1507.963348
117.17943,300,1507.963354
174.55623,300,1507.963361
107.876396,300,1507.963367
136.95372,300,1507.963373
139.18956,300,1507.963379
72.31549,300,1507.963385
182.30182,300,1507.963391
80.97726,300,1507.963397
35.815308,300,1507.963403
155.94728,300,1507.963409
180.05362,300,1507.963414
158.50824,300,1507.963421
-1524.2725,300,1507.963427
93.91199,300,1507.963433
108.08344,300,1507.963439
-28.277563,300,1507.963445
98.02053,300,1507.963451
-2536.6711,300,1507.963457
78.8896,300,1507.963463
48.925213,300,1507.963469
138.47295,300,1507.963475
90.09088,300,1507.963482
151.06119,300,1507.963487
141.34042,300,1507.963494
288.29935,300,1507.9635
128.41809,300,1507.963506
157.01236,300,1507.963511
32.367973,300,1507.963517
117.00279,300,1507.963523
220.75272,300,1507.963528
261.35867,300,1507.963534
95.329216,300,1507.963541
196.45628,300,1507.963547
151.59926,300,1507.963554
258.61063,300,1507.96356
121.1877,300,1507.963566
-2313.6582,300,1507.963572
201.67862,300,2244.835696
196.90639,300,2244.835785
204.43082,300,2244.835796
179.80782,300,2244.835803
177.74823,300,2244.83581
71.61781,300,2244.835817
143.80927,300,2244.835823
221.50761,300,2244.835829
202.95294,300,2244.835835
270.82135,300,2244.835842
236.71768,300,2244.835848
167.54793,300,2244.835854
223.85625,300,2244.835861
172.79141,300,2244.835867
128.84903,300,2244.835873
197.43427,300,2244.835879
125.81806,300,2244.835885
238.85907,300,2244.835891
121.90079,300,2244.835897
68.43108,300,2244.835903
181.08704,300,2244.835909
237.99934,300,2244.835914
206.11082,300,2244.835921
42.64517,300,2244.835927
118.32453,300,2244.835934
163.0842,300,2244.835957
92.352875,300,2244.835963
145.93576,300,2244.83597
-1888.536,300,2244.835976
125.29933,300,2244.835982
82.360466,300,2244.835988
227.63834,300,2244.835994
146.62817,300,2244.836001
182.52304,300,2244.836007
