#{"t_start": 1788799475.011904, "env_id": "None"}
r,l,t
243.13506,300,698.999227
158.27855,300,698.999341
-1195.945,300,698.999354
318.06232,300,698.999361
340.3974,300,698.999368
191.38129,300,698.999375
304.50156,300,698.999381
171.74594,300,698.99939
272.78186,300,698.999397
263.37964,300,698.999403
118.698425,300,698.99941
139.04642,300,698.999416
345.66772,300,698.999424
288.15182,300,698.999429
229.37674,300,698.999435
175.0266,300,698.999441
252.86107,300,698.999447
180.45839,300,698.999453
212.6996,300,698.999459
117.123825,300,698.999465
291.61206,300,698.99947
168.77074,300,698.999476
273.4544,300,698.999484
173.8039,300,698.99949
-221.80695,300,698.999496
186.57904,300,698.999503
209.29123,300,698.999511
353.5667,300,698.999519
92.39344,300,698.999525
149.43776,300,698.999532
233.5677,300,698.999538
130.77101,300,698.999545
244.02396,300,698.999551
-2698.3022,300,698.999557
190.6995,300,698.999563
138.27156,300,698.999569
251.08444,300,698.999575
197.16824,300,698.999581
207.76044,300,698.999587
303.57,300,698.999592
265.64462,300,698.999598
295.63156,300,698.999604
135.84633,300,698.99961
107.12465,300,698.999616
262.32745,300,698.999622
140.92238,300,698.999628
206.58963,300,698.999633
219.16441,300,698.999639
233.03587,300,1392.175157
103.98834,300,1392.175238
-1396.6577,300,1392.17525
242.13503,300,1392.175257
231.26424,300,1392.175264
172.39677,300,1392.17527
238.31445,300,1392.175277
157.85336,300,1392.175283
221.71274,300,1392.175289
227.01447,300,1392.175296
-705.1208,300,1392.175303
108.20582,300,1392.175309
214.75127,300,1392.175316
222.51245,300,1392.175322
259.2758,300,1392.175328
163.44829,300,1392.175334
208.5712,300,1392.17534
176.66896,300,1392.175347
216.3051,300,1392.175353
90.07514,300,1392.175359
245.62875,300,1392.175364
121.08621,300,1392.175371
249.92093,300,1392.175378
139.5662,300,1392.175384
-290.22107,300,1392.17539
144.62021,300,1392.175396
194.25023,300,1392.175402
226.51575,300,1392.175408
-1462.6567,300,1392.175415
94.51456,300,1392.175421
194.93188,300,1392.175426
-219.19923,300,1392.175432
183.66495,300,1392.175439
-2940.3142,300,1392.175445
130.58388,300,1392.175451
63.154427,300,1392.175457
237.04677,300,1392.175463
155.36522,300,1392.175469
176.28558,300,1392.175474
209.31221,300,1392.17548
302.32632,300,1392.175486
241.41058,300,1392.175492
128.35161,300,1392.175499
-1177.8119,300,1392.175504
207.46347,300,1392.175511
150.3091,300,1392.175516
233.0083,300,1392.175522
168.90016,300,1392.175529
273.56042,300,2073.001025
212.00757,300,2073.001109
-1269.9791,300,2073.001121
420.21896,300,2073.001128
469.3645,300,2073.001134
175.2382,300,2073.001141
421.12683,300,2073.001147
216.64394,300,2073.001153
347.04834,300,2073.001159
328.86316,300,2073.001165
175.52165,300,2073.001171
174.33128,300,2073.001177
462.53125,300,2073.001184
361.79865,300,2073.00119
364.2747,300,2073.001197
191.96915,300,2073.001203
302.3621,300,2073.001209
203.5886,300,2073.001215
291.53653,300,2073.001221
127.69388,300,2073.001227
391.35852,300,2073.001233
187.88829,300,2073.001239
395.03482,300,2073.001245
248.20456,300,2073.001252
129.09093,300,2073.001258
161.10251,300,2073.001265
141.59691,300,2073.001271
485.10602,300,2073.001277
-1585.7657,300,2073.001283
186.61414,300,2073.001289
268.46234,300,2073.001295
166.59451,300,2073.001301
321.36023,300,2073.001308
-3240.46,300,2073.001314
262.3267,300,2073.00132
195.17262,300,2073.001326
247.58894,300,2073.001332
252.18402,300,2073.001337
308.45486,300,2073.001343
414.90485,300,2073.001348
426.18512,300,2073.001354
371.62048,300,2073.00136
87.145584,300,2073.001367
130.76001,300,2073.001373
340.75177,300,2073.001379
42.22485,300,2073.001384
363.84125,300,2073.00139
286.89178,300,2073.001396
538.47736,300,2765.61734
152.1917,300,2765.617425
-1170.396,300,2765.617437
674.0696,300,2765.617444
689.44403,300,2765.617451
309.20065,300,2765.617457
634.21466,300,2765.617464
293.86185,300,2765.61747
579.268,300,2765.617476
506.63474,300,2765.617487
-450.3199,300,2765.617495
225.73491,300,2765.6175
695.65076,300,2765.617507
594.69653,300,2765.617514
527.907,300,2765.61752
319.40808,300,2765.617526
341.6311,300,2765.617532
295.68842,300,2765.617538
462.6409,300,2765.617544
158.19777,300,2765.61755
645.08954,300,2765.617556
178.71648,300,2765.617562
609.971,300,2765.617569
199.90938,300,2765.617575
90.06193,300,2765.617581
238.72983,300,2765.617587
399.77432,300,2765.617593
705.40204,300,2765.617599
