#{"t_start": 1788796152.3535786, "env_id": "None"}
r,l,t
272.72113,300,699.381495
674.4586,300,699.381605
672.41595,300,699.381618
636.9039,300,699.381625
680.2922,300,699.381632
601.3728,300,699.381639
652.7764,300,699.381645
668.3116,300,699.381654
440.25327,300,699.381661
566.09247,300,699.381667
679.2827,300,699.381673
619.7438,300,699.381679
667.3258,300,699.381686
629.45447,300,699.381692
680.5849,300,699.381698
631.7495,300,699.381705
634.28204,300,699.381711
404.35806,300,699.381716
675.03046,300,699.381722
464.21283,300,699.381728
653.3146,300,699.381735
479.79214,300,699.381741
423.90796,300,699.381747
580.2784,300,699.381753
666.5818,300,699.381759
674.71027,300,699.381766
419.90494,300,699.381772
472.83334,300,699.381778
658.1504,300,699.381786
523.9498,300,699.381793
639.31506,300,699.381799
393.11655,300,699.381805
346.12982,300,699.381812
450.7956,300,699.381818
671.04395,300,699.381824
554.76654,300,699.381831
639.9626,300,699.381837
675.23584,300,699.381851
669.91547,300,699.381857
622.2306,300,699.381863
584.5112,300,699.381869
342.4563,300,699.381875
666.4992,300,699.381881
662.64996,300,699.381887
653.2176,300,699.381893
633.926,300,699.381899
616.62146,300,699.381905
683.7518,300,699.38191
451.1355,300,1388.725399
790.3105,300,1388.725487
788.67725,300,1388.725498
769.81793,300,1388.725505
781.05914,300,1388.725511
746.7369,300,1388.725518
772.88354,300,1388.725524
778.1923,300,1388.725529
600.0865,300,1388.725536
718.0846,300,1388.725542
790.1515,300,1388.725549
747.70026,300,1388.725555
783.24365,300,1388.725562
771.0964,300,1388.725568
800.57,300,1388.725574
763.1933,300,1388.72558
762.90515,300,1388.725586
626.9784,300,1388.725592
786.4601,300,1388.725598
641.3811,300,1388.725604
785.33514,300,1388.72561
649.9445,300,1388.725616
532.08,300,1388.725622
719.6465,300,1388.725628
781.2681,300,1388.725634
786.0099,300,1388.72564
548.105,300,1388.725647
630.45374,300,1388.725653
795.536,300,1388.725659
657.4353,300,1388.725664
768.6391,300,1388.72567
488.44757,300,1388.725676
519.95874,300,1388.725683
617.2608,300,1388.725688
787.1941,300,1388.725694
714.37994,300,1388.7257
771.626,300,1388.725706
784.7277,300,1388.725712
788.42596,300,1388.725718
759.12384,300,1388.725723
721.73914,300,1388.725729
445.2326,300,1388.725734
778.9516,300,1388.725741
776.08997,300,1388.725747
787.6108,300,1388.725753
761.17444,300,1388.725759
753.2275,300,1388.725765
789.53406,300,1388.72577
392.28165,300,2075.45524
787.884,300,2075.455328
785.6794,300,2075.455339
752.0767,300,2075.455346
777.2182,300,2075.455352
734.6609,300,2075.455359
777.0871,300,2075.455364
775.6592,300,2075.45537
311.03818,300,2075.455377
696.7722,300,2075.455382
788.9186,300,2075.455388
760.23914,300,2075.455395
783.6259,300,2075.455402
729.7828,300,2075.455408
801.3733,300,2075.455414
750.43365,300,2075.455419
758.9026,300,2075.455425
499.7722,300,2075.455431
783.4308,300,2075.455437
563.80835,300,2075.455443
782.1866,300,2075.455449
608.88336,300,2075.455454
480.63092,300,2075.455461
698.6496,300,2075.455467
773.4098,300,2075.455473
786.4983,300,2075.45548
429.08545,300,2075.455486
611.0141,300,2075.455492
790.2192,300,2075.455498
613.1637,300,2075.455504
762.814,300,2075.455509
453.87396,300,2075.455516
385.45737,300,2075.455524
595.1729,300,2075.45553
785.865,300,2075.455536
688.97675,300,2075.455542
767.1715,300,2075.455548
786.96436,300,2075.455554
787.55994,300,2075.455559
763.55194,300,2075.455565
709.1172,300,2075.455571
444.0623,300,2075.455576
778.6207,300,2075.455583
784.07935,300,2075.455589
786.1599,300,2075.455595
752.5654,300,2075.4556
741.9149,300,2075.455606
786.31714,300,2075.455611
356.14005,300,2780.757414
788.2643,300,2780.757502
789.25757,300,2780.757513
761.6441,300,2780.75752
783.3431,300,2780.757527
723.00195,300,2780.757533
803.18555,300,2780.75754
767.7328,300,2780.757547
407.23926,300,2780.757553
674.01886,300,2780.757559
791.69867,300,2780.757566
799.33875,300,2780.757572
783.8462,300,2780.757582
758.2918,300,2780.757589
804.033,300,2780.757595
749.23914,300,2780.757602
756.35846,300,2780.757608
380.9546,300,2780.757613
789.13837,300,2780.757619
537.69226,300,2780.757625
785.1452,300,2780.757632
491.54755,300,2780.757638
469.77014,300,2780.757644
717.0145,300,2780.75765
778.3311,300,2780.757656
785.4032,300,2780.757663
362.96426,300,2780.757669
601.6581,300,2780.757675
806.46783,300,2780.757681
590.9677,300,2780.757687
759.46045,300,2780.757693
400.99088,300,2780.757699
394.65723,300,2780.757706
534.89777,300,2780.757712
785.7217,300,2780.757718
717.3829,300,2780.757724
767.0905,300,2780.75773
787.53455,300,2780.757736
786.54913,300,2780.757742
794.2807,300,2780.757748
749.489,300,2780.757754
417.72162,300,2780.75776
781.163,300,2780.757766
803.3752,300,2780.757772
788.40485,300,2780.757778
745.44775,300,2780.757783
732.8316,300,2780.757789
787.0032,300,2780.757795
350.41034,300,3477.165596
776.1777,300,3477.165685
